UDI,Date,System,Control,Product ID,Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Diagnostic
1180,28/06/2014 10:32,14,C,L48359,L,,,,43.4,14,No failure
1181,03/09/2014 08:10,14,A,H30594,H,297.3,308.4,1531,,,No failure
1182,01/09/2014 03:22,14,A,L48361,L,297.2,308.3,1379,,,No failure
1183,01/01/2015 22:45,14,B,L48362,L,,,1410,48.1,,No failure
1184,02/01/2015 07:24,14,C,L48363,L,,,,40.5,25,No failure
1185,30/12/2014 10:39,14,A,L48364,L,297.3,308.5,1497,,,No failure
1186,31/12/2014 22:39,14,A,L48365,L,297.3,308.4,1491,,,No failure
1187,06/04/2015 23:56,14,C,L48366,L,,,,47.8,31,No failure
1188,08/07/2015 20:28,14,B,M16047,M,,,1522,38,,No failure
1189,11/07/2015 07:17,14,B,L48368,L,,,1339,52.1,,No failure
1190,24/10/2015 10:57,14,B,M16049,M,,,1794,27.5,,No failure
1191,19/02/2016 07:18,14,A,L48370,L,297.2,308.4,1460,,,No failure
1192,22/02/2016 12:51,14,A,M16051,M,297.2,308.3,1776,,,No failure
1193,18/02/2016 19:49,14,B,M16052,M,,,1431,43.7,,No failure
1194,18/05/2016 09:08,14,B,L48373,L,,,1347,50.8,,No failure
1195,10/09/2016 18:46,14,A,M16054,M,297,308.1,1507,,,No failure
1196,11/12/2016 07:26,14,B,M16055,M,,,1408,47.9,,No failure
1197,10/12/2016 20:38,14,C,M16056,M,,,,34.7,57,No failure
1198,10/12/2016 20:16,14,A,M16057,M,296.9,307.9,1441,,,No failure
1199,08/12/2016 19:17,14,C,H30612,H,,,,36.5,63,No failure
1200,31/03/2017 20:43,14,A,M16059,M,296.9,307.9,1979,,,No failure
1201,17/07/2017 16:00,14,A,M16060,M,296.9,308,1430,,,No failure
1202,18/07/2017 23:16,14,C,L48381,L,,,,41,74,No failure
1203,20/07/2017 19:52,14,A,M16062,M,297,308.1,1355,,,No failure
1204,21/07/2017 03:10,14,C,H30617,H,,,,47.6,79,No failure
1205,05/10/2017 01:55,14,B,L48384,L,,,1521,34.5,,No failure
1206,04/10/2017 00:06,14,B,L48385,L,,,1371,54.5,,No failure
1207,05/10/2017 08:47,14,C,H30620,H,,,,53.5,88,No failure
1208,24/01/2018 08:24,14,A,M16067,M,297,308.1,1573,,,No failure
1209,29/01/2018 04:15,14,A,L48388,L,297,308.1,1489,,,No failure
1210,23/01/2018 19:51,14,B,H30623,H,,,2540,13.3,,No failure
1211,27/03/2018 20:15,14,A,L48390,L,297,308.1,1537,,,No failure
1212,27/03/2018 11:19,14,A,H30625,H,296.9,308,1416,,,No failure
1213,30/03/2018 01:22,14,C,L48392,L,,,,56.5,110,No failure
1214,29/03/2018 03:08,14,A,M16073,M,296.8,307.8,1551,,,No failure
1215,05/06/2018 21:38,14,A,M16074,M,296.8,307.8,1694,,,No failure
1216,09/09/2018 02:52,14,C,L48395,L,,,,28.4,118,No failure
1217,07/09/2018 13:16,14,A,L48396,L,296.9,308,1514,,,No failure
1218,09/09/2018 01:54,14,A,L48397,L,297,308.1,1455,,,No failure
1219,12/09/2018 23:33,14,B,M16078,M,,,1702,30.7,,No failure
1220,10/09/2018 02:04,14,A,M16079,M,296.9,308.1,1357,,,No failure
1221,30/11/2018 03:01,14,C,L48400,L,,,,29.4,130,No failure
1222,28/03/2019 15:23,14,C,M16081,M,,,,46.4,132,Random Failures
1223,23/03/2019 06:47,14,C,L48402,L,,,,59,135,No failure
1224,25/03/2019 21:23,14,A,L48403,L,297,308.3,1492,,,No failure
1225,05/07/2019 03:38,14,A,L48404,L,297.1,308.3,1763,,,No failure
1226,30/06/2019 12:38,14,B,H30639,H,,,1492,41.5,,No failure
1227,01/07/2019 12:27,14,A,L48406,L,297.1,308.4,1488,,,No failure
1228,17/09/2019 01:16,14,B,L48407,L,,,1422,42.1,,No failure
1229,18/09/2019 10:22,14,B,M16088,M,,,1583,38.2,,No failure
1230,16/09/2019 21:50,14,A,L48409,L,297.1,308.4,1304,,,No failure
1231,12/01/2020 02:16,14,C,M16090,M,,,,23.5,155,No failure
1232,15/01/2020 03:42,14,C,M16091,M,,,,40.7,158,No failure
1233,11/01/2020 17:21,14,A,L48412,L,297.2,308.6,1500,,,No failure
1234,16/01/2020 18:07,14,B,M16093,M,,,1364,55.6,,No failure
1235,12/01/2020 16:44,14,A,H30648,H,297.2,308.5,2440,,,No failure
1236,11/05/2020 10:12,14,B,H30649,H,,,1654,31.4,,No failure
1237,09/05/2020 16:55,14,A,H30650,H,297.1,308.4,1359,,,No failure
1238,09/05/2020 01:58,14,A,M16097,M,297.1,308.4,1502,,,No failure
1239,08/05/2020 00:26,14,C,M16098,M,,,,32.6,184,No failure
1240,11/05/2020 14:09,14,B,H30653,H,,,1482,39.3,,No failure
1241,29/07/2020 08:20,14,B,L48420,L,,,1636,31.3,,No failure
1242,30/07/2020 21:08,14,B,M16101,M,,,1621,32.4,,No failure
1243,30/07/2020 02:50,14,A,L48422,L,297.1,308.4,1468,,,No failure
1244,01/08/2020 12:25,14,A,M16103,M,297.1,308.4,1432,,,No failure
1245,22/10/2020 00:56,14,B,L48424,L,,,1726,28.4,,No failure
1246,08/02/2021 21:34,14,C,M16105,M,,,,33.4,204,No failure
1247,13/02/2021 08:24,14,C,H30660,H,,,,33.3,207,No failure
1248,16/05/2021 12:55,14,C,L48427,L,,,,42.9,212,No failure
1249,17/05/2021 18:19,14,A,L48428,L,297.2,308.6,1489,,,No failure
1250,19/09/2021 14:12,14,B,L48429,L,,,1467,36.8,,No failure
1251,19/12/2021 22:32,14,A,L48430,L,297.3,308.7,1549,,,No failure
1252,27/02/2022 20:16,14,B,M16111,M,,,1359,48.7,,No failure
1253,28/02/2022 01:20,14,A,L48432,L,297.5,308.8,1533,,,No failure
1254,09/03/2014 12:01,15,B,L48433,L,,,1309,57.3,,No failure
1255,10/03/2014 19:14,15,C,H30668,H,,,,49.4,2,No failure
1256,10/03/2014 19:37,15,A,H30669,H,297.5,308.9,1419,,,No failure
1257,10/03/2014 19:14,15,B,M16116,M,,,1535,37.7,,No failure
1258,14/03/2014 16:24,15,C,L48437,L,,,,43,15,No failure
1259,01/07/2014 06:26,15,B,L48438,L,,,1427,50.4,,No failure
1260,30/06/2014 19:34,15,C,M16119,M,,,,48.5,19,No failure
1261,09/10/2014 00:58,15,C,L48440,L,,,,33.8,22,No failure
1262,09/10/2014 21:22,15,A,H30675,H,297.6,309,1885,,,No failure
1263,08/10/2014 14:02,15,A,H30676,H,297.8,309.2,1648,,,No failure
1264,12/10/2014 10:44,15,A,L48443,L,297.8,309.2,1400,,,No failure
1265,04/02/2015 11:06,15,B,M16124,M,,,2243,15.7,,No failure
1266,27/05/2015 07:32,15,B,L48445,L,,,1558,35.7,,No failure
1267,22/05/2015 12:02,15,B,L48446,L,,,1633,34.8,,No failure
1268,25/05/2015 07:28,15,A,M16127,M,298.1,309.6,1549,,,No failure
1269,24/05/2015 17:26,15,C,L48448,L,,,,45.8,46,No failure
1270,02/08/2015 09:14,15,B,L48449,L,,,1467,41.8,,No failure
1271,22/10/2015 19:52,15,B,M16130,M,,,1276,65.9,,No failure
1272,22/10/2015 16:47,15,A,H30685,H,298,309.4,1490,,,No failure
1273,23/10/2015 15:24,15,A,H30686,H,298,309.4,1562,,,No failure
1274,19/10/2015 17:38,15,C,L48453,L,,,,48.2,63,No failure
1275,23/10/2015 08:08,15,C,H30688,H,,,,40.2,65,No failure
1276,25/01/2016 18:43,15,C,M16135,M,,,,47.6,70,No failure
1277,26/01/2016 07:21,15,A,M16136,M,298.2,309.4,1693,,,No failure
1278,28/01/2016 16:17,15,A,M16137,M,298.2,309.4,1408,,,No failure
1279,08/05/2016 01:09,15,C,L48458,L,,,,52.9,79,No failure
1280,26/08/2016 16:03,15,C,M16139,M,,,,40.1,81,No failure
1281,29/08/2016 02:21,15,C,H30694,H,,,,37.1,84,No failure
1282,15/11/2016 03:51,15,A,H30695,H,298.3,309.5,1427,,,No failure
1283,13/11/2016 07:41,15,A,L48462,L,298.3,309.4,1546,,,No failure
1284,02/03/2017 06:37,15,C,L48463,L,,,,45.4,96,No failure
1285,03/03/2017 19:41,15,B,L48464,L,,,2153,15.3,,Power Failure
1286,01/03/2017 15:09,15,C,M16145,M,,,,41.7,100,No failure
1287,23/06/2017 20:54,15,A,L48466,L,298.5,309.6,1582,,,No failure
1288,21/06/2017 05:13,15,A,L48467,L,298.5,309.6,1419,,,No failure
1289,18/06/2017 11:56,15,B,M16148,M,,,1441,48.2,,No failure
1290,21/06/2017 18:33,15,A,M16149,M,298.6,309.7,1635,,,No failure
1291,16/09/2017 17:56,15,B,L48470,L,,,1429,45.8,,No failure
1292,14/09/2017 02:41,15,A,M16151,M,298.6,309.7,1675,,,No failure
1293,14/09/2017 18:37,15,A,M16152,M,298.7,309.7,1868,,,No failure
1294,13/09/2017 07:01,15,B,H30707,H,,,1582,33.4,,No failure
1295,24/12/2017 14:16,15,C,L48474,L,,,,40.3,126,No failure
1296,25/12/2017 19:35,15,A,L48475,L,298.7,309.8,1402,,,No failure
1297,01/03/2018 19:44,15,B,L48476,L,,,1621,34.1,,No failure
1298,01/03/2018 11:12,15,A,L48477,L,298.8,309.9,1428,,,No failure
1299,27/02/2018 23:55,15,A,M16158,M,298.7,309.8,1343,,,No failure
1300,03/03/2018 10:31,15,A,M16159,M,298.7,309.9,1458,,,No failure
1301,06/06/2018 23:22,15,B,L48480,L,,,1322,57,,No failure
1302,09/06/2018 02:47,15,C,L48481,L,,,,32.8,142,No failure
1303,11/06/2018 09:58,15,C,L48482,L,,,,45.7,144,Random Failures
1304,06/06/2018 20:39,15,C,L48483,L,,,,42.5,146,No failure
1305,06/06/2018 09:33,15,B,L48484,L,,,2098,19.6,,No failure
1306,06/09/2018 02:23,15,C,L48485,L,,,,30.4,150,No failure
1307,04/09/2018 22:38,15,B,L48486,L,,,1487,41.4,,No failure
1308,01/12/2018 10:14,15,C,L48487,L,,,,42.1,154,No failure
1309,06/03/2019 14:20,15,C,L48488,L,,,,25,156,No failure
1310,07/03/2019 23:05,15,A,L48489,L,298.9,310.2,1654,,,No failure
1311,06/03/2019 00:24,15,C,L48490,L,,,,50.2,160,No failure
1312,22/05/2019 19:10,15,B,L48491,L,,,1587,30.2,,No failure
1313,22/05/2019 08:55,15,B,L48492,L,,,1473,42.6,,No failure
1314,25/05/2019 01:53,15,B,L48493,L,,,1359,56.9,,No failure
1315,03/08/2019 12:45,15,C,M16174,M,,,,34.5,168,No failure
1316,03/12/2019 14:50,15,A,L48495,L,299,310.3,1520,,,No failure
1317,07/12/2019 07:01,15,C,L48496,L,,,,36.7,173,No failure
1318,03/12/2019 17:11,15,A,L48497,L,299,310.3,1428,,,No failure
1319,02/12/2019 10:17,15,B,M16178,M,,,1582,33.3,,No failure
1320,03/12/2019 13:18,15,A,L48499,L,299,310.3,1929,,,No failure
1321,28/02/2020 19:37,15,C,M16180,M,,,,38.1,182,No failure
1322,02/03/2020 19:20,15,C,L48501,L,,,,53,185,No failure
1323,03/03/2020 00:36,15,C,H30736,H,,,,49.9,187,No failure
1324,30/04/2020 21:21,15,C,L48503,L,,,,51.7,192,No failure
1325,01/05/2020 11:09,15,C,M16184,M,,,,74.5,194,Overstrain Failure
1326,22/07/2020 16:04,15,A,H30739,H,298.8,310.1,1567,,,No failure
1327,22/07/2020 23:49,15,B,L48506,L,,,1411,46.5,,No failure
1328,21/07/2020 05:13,15,C,L48507,L,,,,26.8,204,No failure
1329,21/07/2020 17:35,15,B,M16188,M,,,1719,28.8,,No failure
1330,21/07/2020 17:58,15,A,H30743,H,298.8,310.2,1663,,,No failure
1331,09/10/2020 19:07,15,C,L48510,L,,,,30.2,214,No failure
1332,08/10/2020 01:18,15,B,H30745,H,,,1771,26.8,,No failure
1333,08/10/2020 05:38,15,A,L48512,L,299,310.3,1868,,,No failure
1334,09/10/2020 21:53,15,A,M16193,M,299,310.3,1558,,,No failure
1335,28/01/2021 05:14,15,C,L48514,L,,,,49.1,226,Overstrain Failure
1336,28/01/2021 05:34,15,C,L48515,L,,,,53.8,228,Overstrain Failure
1337,26/01/2021 16:46,15,B,L48516,L,,,1583,32.6,,No failure
1338,03/03/2014 18:08,16,A,H30751,H,298.7,310.2,1613,,,No failure
1339,21/05/2014 02:08,16,B,L48518,L,,,1721,27.2,,No failure
1340,06/08/2014 17:56,16,C,M16199,M,,,,31.5,7,No failure
1341,06/08/2014 06:46,16,A,L48520,L,298.6,310.2,1569,,,No failure
1342,07/08/2014 00:47,16,A,M16201,M,298.6,310.2,1328,,,No failure
1343,23/10/2014 00:23,16,C,M16202,M,,,,33,15,No failure
1344,29/01/2015 20:20,16,B,L48523,L,,,1676,32.7,,No failure
1345,21/05/2015 11:35,16,C,L48524,L,,,,28.9,20,No failure
1346,18/05/2015 20:02,16,A,L48525,L,298.5,310,1804,,,No failure
1347,12/09/2015 22:56,16,C,L48526,L,,,,33.9,24,No failure
1348,09/09/2015 23:35,16,B,L48527,L,,,1717,27.3,,No failure
1349,12/09/2015 11:10,16,A,L48528,L,298.7,310.2,1363,,,No failure
1350,07/09/2015 14:44,16,B,L48529,L,,,1402,45.9,,No failure
1351,28/12/2015 15:58,16,C,L48530,L,,,,47.5,32,No failure
1352,07/04/2016 05:56,16,B,L48531,L,,,1525,43.7,,No failure
1353,22/06/2016 16:42,16,C,M16212,M,,,,33.3,36,No failure
1354,20/06/2016 21:48,16,A,M16213,M,298.6,310.1,1444,,,No failure
1355,24/06/2016 10:09,16,A,L48534,L,298.6,310,1334,,,No failure
1356,21/06/2016 19:31,16,B,M16215,M,,,1681,35.5,,No failure
1357,04/10/2016 09:11,16,B,L48536,L,,,1593,37.4,,No failure
1358,29/09/2016 21:22,16,B,L48537,L,,,1461,45.7,,No failure
1359,30/09/2016 02:52,16,A,M16218,M,298.7,310.1,1693,,,No failure
1360,29/09/2016 07:40,16,A,L48539,L,298.7,310.2,1404,,,No failure
1361,01/10/2016 23:52,16,B,H30774,H,,,1707,27.6,,No failure
1362,06/12/2016 19:19,16,A,M16221,M,298.6,310.1,1458,,,No failure
1363,17/03/2017 19:47,16,C,L48542,L,,,,41.2,64,No failure
1364,18/03/2017 09:18,16,C,L48543,L,,,,54.6,66,No failure
1365,18/03/2017 17:51,16,C,L48544,L,,,,33.1,68,No failure
1366,19/03/2017 09:30,16,C,L48545,L,,,,33.5,70,No failure
1367,17/06/2017 17:00,16,C,M16226,M,,,,56.8,72,No failure
1368,18/06/2017 21:29,16,B,M16227,M,,,1581,37.5,,No failure
1369,19/08/2017 22:18,16,A,H30782,H,298.8,310.3,1708,,,No failure
1370,21/08/2017 07:29,16,B,M16229,M,,,1481,41.5,,No failure
1371,09/11/2017 10:55,16,B,L48550,L,,,1451,40,,No failure
1372,13/11/2017 01:42,16,C,M16231,M,,,,38.7,88,No failure
1373,14/02/2018 10:38,16,B,M16232,M,,,1573,41.8,,No failure
1374,10/02/2018 17:21,16,A,M16233,M,298.8,310.3,1366,,,No failure
1375,05/06/2018 04:08,16,B,L48554,L,,,1553,36.8,,No failure
1376,18/08/2018 22:18,16,A,M16235,M,298.8,310.3,1528,,,No failure
1377,17/08/2018 15:43,16,A,M16236,M,298.8,310.2,1527,,,No failure
1378,18/08/2018 10:47,16,C,L48557,L,,,,46.7,105,No failure
1379,30/10/2018 00:55,16,B,H30792,H,,,1455,44.9,,No failure
1380,31/10/2018 11:39,16,A,L48559,L,298.7,310.1,1620,,,No failure
1381,29/10/2018 14:56,16,C,L48560,L,,,,27.7,114,No failure
1382,09/02/2019 17:20,16,C,M16241,M,,,,35.7,116,No failure
1383,12/02/2019 12:07,16,A,L48562,L,298.8,310.1,1653,,,No failure
1384,04/05/2019 02:29,16,B,M16243,M,,,1331,49,,No failure
1385,25/07/2019 00:31,16,B,L48564,L,,,1484,43.8,,No failure
1386,22/07/2019 00:50,16,C,M16245,M,,,,36.1,126,No failure
1387,25/07/2019 19:44,16,B,L48566,L,,,1445,40,,No failure
1388,23/07/2019 20:01,16,B,L48567,L,,,1823,26.1,,No failure
1389,31/10/2019 17:41,16,C,H30802,H,,,,45.3,133,No failure
1390,31/10/2019 09:19,16,A,L48569,L,298.9,310.2,1533,,,No failure
1391,30/10/2019 04:24,16,A,L48570,L,298.9,310.2,1409,,,No failure
1392,26/10/2019 00:48,16,B,L48571,L,,,2737,8.8,,Power Failure
1393,26/10/2019 04:36,16,A,M16252,M,299,310.3,1494,,,No failure
1394,30/01/2020 09:22,16,C,L48573,L,,,,33.3,147,No failure
1395,30/01/2020 18:27,16,A,L48574,L,299.1,310.4,1527,,,No failure
1396,01/02/2020 09:01,16,C,L48575,L,,,,39.7,151,No failure
1397,13/04/2020 23:26,16,B,L48576,L,,,1483,39.2,,No failure
1398,17/04/2020 04:18,16,B,L48577,L,,,1569,38.2,,No failure
1399,15/06/2020 10:16,16,B,L48578,L,,,1472,46.6,,No failure
1400,15/06/2020 02:38,16,A,L48579,L,299,310.2,1533,,,No failure
1401,16/06/2020 17:33,16,C,H30814,H,,,,62.7,161,No failure
1402,16/06/2020 17:54,16,B,H30815,H,,,1532,37.7,,No failure
1403,14/06/2020 19:31,16,B,M16262,M,,,1313,56.8,,No failure
1404,25/08/2020 12:40,16,B,L48583,L,,,1372,48,,No failure
1405,27/08/2020 05:37,16,A,M16264,M,298.9,310.1,1555,,,No failure
1406,23/08/2020 20:55,16,A,L48585,L,298.9,310.1,1394,,,No failure
1407,23/08/2020 11:42,16,A,L48586,L,298.9,310.1,1442,,,No failure
1408,13/11/2020 22:45,16,A,L48587,L,298.9,310,1564,,,No failure
1409,14/11/2020 10:38,16,C,L48588,L,,,,48.9,185,No failure
1410,11/11/2020 18:29,16,B,L48589,L,,,1466,42.5,,No failure
1411,08/11/2020 15:55,16,C,M16270,M,,,,53.2,189,No failure
1412,04/02/2021 23:17,16,B,L48591,L,,,1944,23.4,,No failure
1413,09/02/2021 08:31,16,C,M16272,M,,,,53.2,194,No failure
1414,09/02/2021 12:07,16,A,M16273,M,298.7,309.8,1528,,,No failure
1415,09/02/2021 12:49,16,B,M16274,M,,,1570,42.1,,No failure
1416,09/02/2021 00:57,16,B,L48595,L,,,1617,33,,No failure
1417,10/04/2021 14:26,16,C,M16276,M,,,,18.2,205,No failure
1418,14/04/2021 05:30,16,A,L48597,L,298.7,309.9,1541,,,No failure
1419,12/04/2021 09:43,16,B,L48598,L,,,1320,47.4,,No failure
1420,12/04/2021 12:29,16,C,L48599,L,,,,53.3,212,Overstrain Failure
1421,13/04/2021 19:40,16,A,M16280,M,298.8,309.9,1495,,,No failure
1422,06/08/2021 20:05,16,A,L48601,L,298.7,309.8,1589,,,No failure
1423,18/04/2014 13:06,17,B,L48602,L,,,1530,35.5,,No failure
1424,23/04/2014 07:15,17,A,L48603,L,298.7,309.8,1539,,,No failure
1425,20/04/2014 20:02,17,A,L48604,L,298.7,309.7,1462,,,No failure
1426,20/04/2014 05:34,17,A,L48605,L,298.6,309.7,1356,,,No failure
1427,23/04/2014 20:45,17,C,M16286,M,,,,34.6,8,No failure
1428,06/08/2014 22:52,17,B,L48607,L,,,1394,40.3,,No failure
1429,06/08/2014 03:08,17,B,L48608,L,,,1568,33.7,,No failure
1430,05/08/2014 21:05,17,C,M16289,M,,,,43.8,15,No failure
1431,08/08/2014 02:14,17,A,L48610,L,298.9,310,1378,,,No failure
1432,07/08/2014 09:33,17,B,M16291,M,,,1404,41.4,,No failure
1433,09/10/2014 19:07,17,A,L48612,L,298.8,309.8,1437,,,No failure
1434,07/10/2014 14:29,17,B,L48613,L,,,1363,44,,No failure
1435,08/10/2014 21:25,17,A,M16294,M,298.8,309.8,1377,,,No failure
1436,12/10/2014 07:25,17,C,H30849,H,,,,42.1,30,No failure
1437,09/10/2014 12:02,17,A,H30850,H,298.8,309.8,1510,,,No failure
1438,23/12/2014 02:15,17,A,H30851,H,298.8,309.9,1439,,,No failure
1439,21/12/2014 20:54,17,C,L48618,L,,,,39.1,45,No failure
1440,21/12/2014 12:51,17,C,M16299,M,,,,37,47,No failure
1441,25/12/2014 23:44,17,C,M16300,M,,,,27.7,50,No failure
1442,24/12/2014 05:06,17,C,L48621,L,,,,38.8,53,No failure
1443,02/03/2015 07:17,17,B,M16302,M,,,1486,38.5,,No failure
1444,02/03/2015 07:55,17,A,L48623,L,298.9,310.1,1602,,,No failure
1445,02/03/2015 08:48,17,C,L48624,L,,,,37.9,60,No failure
1446,07/03/2015 01:18,17,C,L48625,L,,,,29.2,62,No failure
1447,12/05/2015 12:43,17,A,M16306,M,299,310.2,1628,,,No failure
1448,14/05/2015 01:47,17,C,M16307,M,,,,33.6,67,No failure
1449,15/05/2015 05:07,17,C,M16308,M,,,,31,70,No failure
1450,28/08/2015 17:51,17,C,H30863,H,,,,30.8,73,No failure
1451,28/08/2015 14:06,17,A,M16310,M,299,310.3,1447,,,No failure
1452,26/08/2015 00:59,17,A,L48631,L,298.9,310.4,1831,,,No failure
1453,22/12/2015 06:30,17,B,L48632,L,,,1584,34.4,,No failure
1454,19/12/2015 06:26,17,C,L48633,L,,,,40.9,85,No failure
1455,20/12/2015 07:33,17,A,L48634,L,299.1,310.4,1428,,,No failure
1456,17/12/2015 12:53,17,B,L48635,L,,,1382,53,,No failure
1457,12/03/2016 08:24,17,A,L48636,L,299,310.3,1501,,,No failure
1458,11/03/2016 18:26,17,B,L48637,L,,,1475,42.4,,No failure
1459,09/03/2016 05:16,17,C,L48638,L,,,,54,95,No failure
1460,22/06/2016 10:26,17,A,L48639,L,299,310.3,1472,,,No failure
1461,20/06/2016 00:01,17,A,L48640,L,299,310.3,1437,,,No failure
1462,22/06/2016 20:17,17,C,L48641,L,,,,45.1,101,No failure
1463,19/06/2016 22:33,17,C,L48642,L,,,,27.6,103,No failure
1464,22/06/2016 02:50,17,A,L48643,L,298.8,310.1,1607,,,No failure
1465,08/09/2016 01:36,17,A,L48644,L,298.8,310,1412,,,No failure
1466,17/11/2016 19:31,17,C,L48645,L,,,,40.9,109,No failure
1467,14/11/2016 22:24,17,C,L48646,L,,,,50.5,111,No failure
1468,15/11/2016 23:04,17,B,L48647,L,,,1544,30.2,,No failure
1469,08/02/2017 17:30,17,C,M16328,M,,,,44.9,115,No failure
1470,10/02/2017 14:17,17,A,L48649,L,298.6,309.8,1497,,,No failure
1471,04/05/2017 11:55,17,A,L48650,L,298.5,309.7,1437,,,No failure
1472,03/05/2017 22:45,17,B,L48651,L,,,1421,53.6,,No failure
1473,03/05/2017 08:32,17,C,M16332,M,,,,44.5,124,No failure
1474,04/05/2017 06:40,17,A,M16333,M,298.5,309.5,1315,,,No failure
1475,16/07/2017 01:34,17,C,M16334,M,,,,61.9,130,No failure
1476,19/07/2017 23:15,17,B,M16335,M,,,1519,35.4,,No failure
1477,15/07/2017 17:02,17,B,L48656,L,,,1692,28.3,,No failure
1478,16/07/2017 04:21,17,B,L48657,L,,,1570,35.6,,No failure
1479,17/07/2017 03:23,17,C,L48658,L,,,,35.8,140,No failure
1480,30/09/2017 04:55,17,A,L48659,L,298.2,309.3,1355,,,No failure
1481,21/01/2018 15:51,17,C,M16340,M,,,,18.7,144,No failure
1482,17/01/2018 10:16,17,B,M16341,M,,,1332,60.2,,No failure
1483,18/01/2018 18:30,17,A,M16342,M,298.1,309.1,1448,,,No failure
1484,14/05/2018 15:58,17,C,L48663,L,,,,35.6,153,No failure
1485,13/05/2018 12:20,17,B,M16344,M,,,1562,39.2,,No failure
1486,12/05/2018 09:02,17,A,M16345,M,298.1,309,1976,,,No failure
1487,12/05/2018 20:41,17,C,M16346,M,,,,34.6,161,No failure
1488,10/05/2018 20:49,17,C,L48667,L,,,,48.5,164,No failure
1489,11/08/2018 23:45,17,A,L48668,L,298.2,309.1,1568,,,No failure
1490,15/10/2018 14:05,17,B,M16349,M,,,1723,26.6,,No failure
1491,13/10/2018 11:18,17,B,L48670,L,,,1341,43.8,,No failure
1492,14/10/2018 13:04,17,A,M16351,M,298.1,308.9,1353,,,No failure
1493,12/10/2018 16:31,17,B,M16352,M,,,1479,58.5,,Power Failure
1494,14/10/2018 07:30,17,A,L48673,L,298,308.8,1496,,,No failure
1495,11/01/2019 02:35,17,A,M16354,M,298,308.7,1377,,,No failure
1496,19/03/2019 05:53,17,A,H30909,H,297.9,308.5,1383,,,No failure
1497,19/03/2019 01:02,17,C,L48676,L,,,,69.4,189,Overstrain Failure
1498,22/03/2019 07:05,17,A,L48677,L,298,308.7,1629,,,No failure
1499,17/03/2019 21:17,17,C,L48678,L,,,,27.2,193,No failure
1500,12/06/2019 08:04,17,A,M16359,M,298.1,308.8,2206,,,No failure
1501,15/06/2019 17:55,17,A,M16360,M,298,308.7,2101,,,No failure
1502,15/06/2019 05:56,17,B,M16361,M,,,1436,48.2,,No failure
1503,15/06/2019 02:20,17,C,L48682,L,,,,48.2,204,No failure
1504,15/09/2019 18:43,17,B,L48683,L,,,1771,26.2,,No failure
1505,30/11/2019 06:08,17,A,L48684,L,298,308.7,1506,,,No failure
1506,29/11/2019 21:44,17,B,L48685,L,,,1626,36.7,,No failure
1507,22/03/2020 22:13,17,B,L48686,L,,,1610,33.7,,No failure
1508,22/03/2020 02:21,17,A,M16367,M,298,308.6,1376,,,No failure
1509,23/03/2020 11:58,17,A,M16368,M,298,308.6,1507,,,No failure
1510,24/07/2020 00:00,17,C,L48689,L,,,,37.7,220,Tool Wear Failure
1511,27/03/2014 17:01,18,B,M16370,M,,,1547,38.9,,No failure
1512,29/03/2014 05:52,18,B,L48691,L,,,1642,30.3,,No failure
1513,27/06/2014 05:43,18,C,H30926,H,,,,36.3,5,No failure
1514,29/06/2014 01:08,18,C,L48693,L,,,,32.9,10,No failure
1515,27/06/2014 20:11,18,A,M16374,M,298.1,308.8,1628,,,No failure
1516,02/07/2014 12:55,18,A,M16375,M,298.2,308.9,1614,,,No failure
1517,09/10/2014 05:43,18,A,L48696,L,298.2,308.9,1278,,,No failure
1518,12/10/2014 21:34,18,B,M16377,M,,,1408,38.8,,No failure
1519,13/10/2014 00:13,18,A,H30932,H,298.2,309,1371,,,No failure
1520,11/10/2014 00:10,18,C,M16379,M,,,,38.5,28,No failure
1521,10/02/2015 17:00,18,B,L48700,L,,,1472,40.1,,No failure
1522,07/02/2015 05:05,18,A,M16381,M,298.2,308.9,1585,,,No failure
1523,16/05/2015 06:44,18,C,H30936,H,,,,37.7,36,No failure
1524,12/05/2015 13:12,18,C,L48703,L,,,,36.9,41,No failure
1525,13/05/2015 08:46,18,C,L48704,L,,,,35.8,43,No failure
1526,12/05/2015 05:18,18,C,L48705,L,,,,13.8,45,No failure
1527,13/05/2015 14:36,18,A,L48706,L,298.1,309,1787,,,No failure
1528,07/09/2015 13:13,18,A,H30941,H,298.1,309.1,1425,,,No failure
1529,16/11/2015 02:51,18,B,L48708,L,,,1559,34,,No failure
1530,16/11/2015 22:33,18,A,L48709,L,298.1,309,1557,,,No failure
1531,17/11/2015 17:35,18,A,L48710,L,298.1,309,1497,,,No failure
1532,14/11/2015 06:39,18,A,H30945,H,298.1,309,1438,,,No failure
1533,16/11/2015 20:56,18,A,M16392,M,298.1,308.9,1417,,,No failure
1534,21/02/2016 03:19,18,A,M16393,M,298,308.9,1339,,,No failure
1535,21/02/2016 19:44,18,A,L48714,L,298,308.8,1757,,,No failure
1536,21/02/2016 05:39,18,A,L48715,L,298,308.8,1581,,,No failure
1537,22/02/2016 09:30,18,B,M16396,M,,,1326,54.4,,No failure
1538,18/02/2016 08:19,18,A,M16397,M,298.4,309.1,1467,,,No failure
1539,19/06/2016 04:22,18,B,L48718,L,,,1798,29.6,,No failure
